collection_id,collection_title,transcript_id,title,description,url,audio,transcript_text,transcript_vtt,transcript_json
brooklyn-public,Brooklyn Public Library,marty-needelman-0001,Marty Needelman,"Marty Needelman is interviewed by Emma Clark at his office in Brooklyn Legal Services Corporation A on March 9th, 2015 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/marty-needelman-leonard-39,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/marty-needelman-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/marty-needelman-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/marty-needelman-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/marty-needelman-0001.json
brooklyn-public,Brooklyn Public Library,wil-chabrier-0001,Wil Chabrier,"Wil Chabrier is interviewed by Emma Clark at his office in 4 World Trade Center on May 8th, 2015 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/wil-chabrier,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/wil-chabrier-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/wil-chabrier-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/wil-chabrier-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/wil-chabrier-0001.json
brooklyn-public,Brooklyn Public Library,paula-silver-0001,Paula Silver,"Paula Silver is interviewed by Emma Clark at the Park Slope Library on February 18th, 2016 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/paula-silver,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/paula-silver-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/paula-silver-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/paula-silver-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/paula-silver-0001.json
brooklyn-public,Brooklyn Public Library,elayne-archer-0001,Elayne Archer,"Elayne Archer is interviewed by Emma Clark at the Park Slope Library on February 18th, 2016 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/elayne-archer,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/elayne-archer-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/elayne-archer-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/elayne-archer-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/elayne-archer-0001.json
brooklyn-public,Brooklyn Public Library,sheila-gallagher-0001,Sheila Gallagher,"Sheila Gallagher is interviewed by Emma Clark and Brenda Bentt-Peters at the Dyker Library on February 19th, 2016 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/sheila-gallagher,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/sheila-gallagher-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/sheila-gallagher-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/sheila-gallagher-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/sheila-gallagher-0001.json
brooklyn-public,Brooklyn Public Library,joseph-frega-0001,Joseph Frega,"Joseph Frega is interviewed by Taina Evans at the Dyker Library on January 29th, 2016 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/joseph-frega,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/joseph-frega-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/joseph-frega-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/joseph-frega-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/joseph-frega-0001.json
brooklyn-public,Brooklyn Public Library,lois-revett-0001,Lois Revett,"Lois Revett is interviewed by Lauren Fiorelli at the Greenpoint Library on December 19th, 2015 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/lois-revett,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/lois-revett-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/lois-revett-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/lois-revett-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/lois-revett-0001.json
brooklyn-public,Brooklyn Public Library,frank-seddio-0001,Frank Seddio,Frank Seddio is interviewed by Taina Evans and Brenda Bentt-Peters at the Paerdegat Library,https://soundcloud.com/ososproject/frank-seddio,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/frank-seddio-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/frank-seddio-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/frank-seddio-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/frank-seddio-0001.json
brooklyn-public,Brooklyn Public Library,ramona-johnson-nefertari-0001,Ramona Johnson and Nefertari,"Ramona Johnson and Nefertari are interviewed by Lauren Fiorelli and Emma Clark at the Kings Bay Library on October 3rd, 2015 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/ramona-johnson-and-nefertari,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/ramona-johnson-nefertari-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/ramona-johnson-nefertari-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/ramona-johnson-nefertari-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/ramona-johnson-nefertari-0001.json
brooklyn-public,Brooklyn Public Library,inez-spencer-0001,Inez Spencer,"Inez Spencer is interviewed by Taina Evans at the Kings Bay Library on January 28th, 2016 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/inez-spencer,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/inez-spencer-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/inez-spencer-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/inez-spencer-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/inez-spencer-0001.json
